Effective date,Mid-peak price (¢ per kWh)
Nov 1 2021,11.30
May 1 2021,11.30
Feb 23 2021,11.90
Jan 1 2021,8.50
Nov 1 2020,15.00
Jun 1 2020,12.80
Mar 24 2020,10.10
Nov 1 2019,14.40
